sample_number,sample_date,lead_amount_ppm
1583926,2014-05-21,1.57e-4
1583938,2014-05-21,0.00187
1584968,2014-05-21,2.36e-4
1586534,2014-05-21,3.17e-4
1583798,2014-05-21,1.31e-4
1584757,2014-05-21,0.0051
1583891,2014-05-21,8e-5
1583936,2014-05-21,0.00133
1583868,2014-05-21,0.00276
1583883,2014-05-21,5.7e-5
1583679,2014-05-21,4.34e-4
1583914,2014-05-21,6.06e-5
1584960,2014-05-21,5e-5
1583915,2014-05-21,0.00218
1583931,2014-05-21,2.27e-4
1585600,2014-05-21,5e-5
1585609,2014-05-21,0.00495
1583889,2014-05-21,1.76e-4
1583784,2014-05-21,2.77e-4
1583813,2014-05-21,1.86e-4
1585613,2014-05-21,8.85e-5
1584707,2014-05-21,5e-5
1584784,2014-05-21,4.54e-4
1583858,2014-05-21,0.00289
1583613,2014-05-21,1.84e-4
1584740,2014-05-21,0.0044
1583627,2014-05-21,1.08e-4
1586753,2014-05-21,5e-5
1583628,2014-05-21,5e-5
1586468,2014-05-21,9.81e-5
1583625,2014-05-21,2.93e-4
1585756,2014-05-21,6.87e-5
1583336,2014-05-21,0.00106
1583864,2014-05-21,8.98e-4
1585810,2014-05-21,0.00121
1583921,2014-05-21,0.0145
1583856,2014-05-21,0.00378
1588622,2014-05-21,3.07e-4
1583871,2014-05-21,5e-5
1585702,2014-05-21,0.00253
1587058,2014-05-21,7.14e-5
1583377,2014-05-21,9.65e-5
1584766,2014-05-21,0.00747
1583584,2014-05-21,2.55e-4
1585483,2014-05-21,1.01e-4
1584908,2014-05-21,1.01e-4
1586774,2014-05-21,0.00355
1584964,2014-05-21,1.56e-4
1584582,2014-05-21,9.91e-4
1586553,2014-05-21,1.75e-4
1586474,2014-05-21,7.5e-5
1584956,2014-05-21,0.0015
1585008,2014-05-21,0.0167
1603909,2014-05-21,1.33e-4
1584657,2014-05-21,5e-5
1584965,2014-05-21,8.18e-5
1585001,2014-05-21,5e-5
1584712,2014-05-21,0.00105
1584783,2014-05-21,0.00399
1584970,2014-05-21,5e-5
1584801,2014-05-21,0.00587
1589677,2014-05-21,1.53e-4
1584583,2014-05-21,0.00263
1585447,2014-05-21,6.57e-4
1583866,2014-05-21,2.53e-4
1584909,2014-05-21,1.61e-4
1585460,2014-05-21,1.94e-4
1584706,2014-05-21,0.00348
1584747,2014-05-21,0.011
1583630,2014-05-21,2.13e-4
1585006,2014-05-21,0.00446
1587284,2014-05-21,0.00189
1585557,2014-05-21,0.00181
1583928,2014-05-21,0.00348
1585817,2014-05-21,6.83e-4
1584602,2014-05-21,5.96e-4
1585814,2014-05-21,8.49e-5
1584799,2014-05-21,2.18e-4
1586765,2014-05-21,1.18e-4
1584890,2014-05-21,8.39e-5
1584661,2014-05-21,5.58e-5
1584782,2014-05-21,8.34e-4
1584719,2014-05-21,5.93e-4
1584772,2014-05-21,1.33e-4
1585003,2014-05-21,5e-5
1585002,2014-05-21,5e-5
1584923,2014-05-21,3.62e-4
1587068,2014-05-21,2.41e-4
1584748,2014-05-21,7.05e-5
1584794,2014-05-21,0.00337
1589008,2014-05-21,0.00374
1584969,2014-05-21,0.00248
